dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
amlworld,gcn,2025,0.0433419993589515,0.0227691559322351,0.4493261953110578,0.661989049253362,0.0224145201723074,0.05
amlworld,gcn,2026,0.0433885477070131,0.0226939221240146,0.4925013886317348,0.6859395755115143,0.0212581305601316,0.05
amlworld,gcn,2027,0.0447340054530467,0.0233578333995497,0.5272795216741405,0.7080547207161483,0.0229278969449809,0.05
amlworld,gat,2024,0.0457891012031139,0.0244467675101074,0.3605796024521642,0.7114870680610142,0.0230994621231854,0.05
amlworld,gat,2025,0.0478740647570637,0.0257454464310618,0.3407790289828318,0.6800499086315976,0.0236195195471008,0.05
amlworld,gat,2026,0.0483476203180642,0.0257895257895257,0.3858544713941862,0.7148154734256653,0.024538077520958,0.05
amlworld,gat,2027,0.047452493419392,0.0253574318856217,0.3688340807174888,0.7116570040243932,0.0237506993710722,0.05
amlworld,caregnn,2024,0.0413174562959209,0.0212380252855959,0.7573843581645923,0.7064807879254386,0.0231204847815896,0.05
amlworld,caregnn,2025,0.0419700893093061,0.0216034774471881,0.7330625807642607,0.6998345509768116,0.022749978117267,0.05
amlworld,caregnn,2026,0.0419979294044107,0.0215678308279539,0.7961488613219774,0.7126507242791208,0.0249119169997385,0.05
amlworld,caregnn,2027,0.0413906221438346,0.0212573771573269,0.7826980568011959,0.7089514712300841,0.0228633772858853,0.05
amlworld,xgb,2024,0.0709847596717467,0.0416036828363336,0.2416201117318435,0.7532376467852382,0.0369789947660666,0.1
amlworld,xgb,2025,0.0721465476749647,0.0428858610676792,0.2270845653459491,0.7511670299961316,0.0373301481594739,0.1
amlworld,xgb,2026,0.076112378367453,0.0445978411667174,0.2594488188976378,0.7569048594060082,0.0378972402959791,0.1
amlworld,xgb,2027,0.0718336483931947,0.0413203443858551,0.2746534653465347,0.7514179443726763,0.0366177749372529,0.1
amlworld,lgbm,2024,0.0694638230017939,0.0396879626466233,0.2781324820430965,0.7535725713601069,0.0378136688571114,0.1
amlworld,lgbm,2025,0.0685815717282556,0.039708492945903,0.2513305736250739,0.7472882422737386,0.0367042813224717,0.1
amlworld,lgbm,2026,0.0726798455361481,0.0417658642682891,0.2797244094488189,0.753552460809847,0.0366002309209132,0.1
amlworld,lgbm,2027,0.0707291038195572,0.0400588791925139,0.3017821782178218,0.7542841552681294,0.0365702589000246,0.1
amlworld,gcn,2024,0.0443885727728522,0.0230433388798143,0.6023543495610535,0.7008452109669756,0.022368981765091,0.1
amlworld,gcn,2025,0.0450414527571483,0.0235115563071852,0.5343977922333925,0.7018426743248265,0.0240739267316097,0.1
amlworld,gcn,2026,0.0438715888719208,0.0229013586579786,0.5202755905511811,0.6947395822692561,0.0217107364135519,0.1
amlworld,gcn,2027,0.0450057663638153,0.0233314376540239,0.6336633663366337,0.7105544899390215,0.0235240941886742,0.1
amlworld,gat,2024,0.0454373130765666,0.0244385034815049,0.3228252194732641,0.6901263352271357,0.0218163632044824,0.1
amlworld,gat,2025,0.0486776423898552,0.0256854917871867,0.4642223536369012,0.7184540798773035,0.0244320415318263,0.1
amlworld,gat,2026,0.0450633661499508,0.0241864365124112,0.3293307086614173,0.7154173567206645,0.0229777119999434,0.1
amlworld,gat,2027,0.0468380252957976,0.0248838793583947,0.3978217821782178,0.7164247017372404,0.0239312375905867,0.1
amlworld,caregnn,2024,0.0408436658083146,0.0209426214911187,0.8212290502793296,0.7123647120050973,0.0238752588322955,0.1
amlworld,caregnn,2025,0.0413930244119417,0.0212609261270172,0.7796175832840528,0.7153666830637233,0.0241753120501637,0.1
amlworld,caregnn,2026,0.0416524983121177,0.0213610194250822,0.8318897637795276,0.7076150363109539,0.0243459399289924,0.1
amlworld,caregnn,2027,0.0411047416221692,0.0211032498792507,0.7873267326732674,0.7077213857270274,0.0232959389198625,0.1
amlworld,mlp,2024,0.0438703709821281,0.0233896155742902,0.3527536745174429,0.5276891708630719,0.017032111138569,0.01
amlworld,mlp,2025,0.0475913340592498,0.0251355933883969,0.4463814051769678,0.5811110107172415,0.0196975581646292,0.01
amlworld,mlp,2026,0.0429951865658137,0.0230715450943835,0.3151193633952254,0.5284496785004116,0.01594342564354,0.01
amlworld,mlp,2027,0.0449729415911588,0.0238747812303932,0.3866999465145302,0.5649003577005244,0.0183626617746695,0.01
amlworld,mlp,2024,0.0274333440411178,0.0140640953855274,0.5552665799739922,0.5742562567971013,0.0177839575409746,0.05
amlworld,mlp,2025,0.0431038823707135,0.0231291965576406,0.3160420897175558,0.5099881866855306,0.0169577564594103,0.05
amlworld,mlp,2026,0.0504169665156838,0.0284621818616322,0.2205147194963895,0.489656742737671,0.0160210090853459,0.05
amlworld,mlp,2027,0.0409417330130823,0.0218999047830226,0.3137144992526158,0.5098147581340555,0.016124779562341,0.05
amlworld,mlp,2024,0.0480093989479586,0.0257261410788381,0.3587390263367917,0.5255598260239887,0.0182852775721091,0.1
amlworld,mlp,2025,0.0445135859969268,0.0233892321270962,0.4596885472107234,0.5545705957572911,0.0183959501514798,0.1
amlworld,mlp,2026,0.0466909771842507,0.0249040635020764,0.3730314960629921,0.535786219191679,0.0185561039416999,0.1
amlworld,mlp,2027,0.0437215932326171,0.0232315581658119,0.3704950495049505,0.54836083324564,0.0172016263750165,0.1
