dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
amlnet,gcn,2026,0.4764061910154775,0.4269282814614343,0.5388556789069172,0.7916217937330465,0.4614808260794404,0.1
amlnet,gcn,2027,0.4566982408660351,0.3837407617964752,0.5639097744360902,0.7696137621444114,0.4571659123204022,0.1
amlnet,gat,2024,0.533213644524237,0.5829244357212954,0.4913151364764268,0.8169196925661499,0.5854288643648722,0.1
amlnet,gat,2025,0.5413758723828515,0.6779026217228464,0.4506224066390041,0.8177633243097802,0.6082132152171629,0.1
amlnet,gat,2026,0.4900900900900901,0.4239401496259352,0.5807002561912895,0.8069010905955846,0.5626337787022389,0.1
amlnet,gat,2027,0.5063485956136976,0.4693295292439372,0.5497076023391813,0.8078948851808596,0.5725847188752576,0.1
amlnet,caregnn,2024,0.4234380058271285,0.3478723404255319,0.5409429280397022,0.7610014209722693,0.3696439049298169,0.1
amlnet,caregnn,2025,0.4422376696458126,0.36784140969163,0.5543568464730291,0.7691056302055022,0.4150438105820871,0.1
amlnet,caregnn,2026,0.4534056252117926,0.3758426966292135,0.5713065755764304,0.7779209271467284,0.4210634080881823,0.1
amlnet,caregnn,2027,0.4426795580110497,0.3772807533843437,0.5355054302422724,0.7552606691000815,0.4220399598612662,0.1
amlnet,mlp,2024,0.4967532467532468,0.5444839857651246,0.4567164179104477,0.6745034001589685,0.3912925984834314,0.01
amlnet,mlp,2025,0.6695364238410596,0.599644128113879,0.7578710644677661,0.8703190534581338,0.5279872916701034,0.01
amlnet,mlp,2026,0.6782833171990965,0.5851893095768375,0.8066001534919417,0.9031777733106504,0.5704779694294503,0.01
amlnet,mlp,2027,0.6422315926046059,0.5653912050256996,0.7432432432432432,0.8676939383223375,0.5139841858605156,0.01
amlnet,mlp,2024,0.6906095551894563,0.5964712578258395,0.8200312989045383,0.87236371095198,0.540204304459589,0.05
amlnet,mlp,2025,0.6784083496412263,0.5803571428571429,0.8163265306122449,0.9064947558632552,0.5804882850644747,0.05
amlnet,mlp,2026,0.6965589155370178,0.6162361623616236,0.8009592326139089,0.9013758495611216,0.635525615654939,0.05
amlnet,mlp,2027,0.6764119601328904,0.5867435158501441,0.7984313725490196,0.8634306805074972,0.5276359387334677,0.05
amlnet,mlp,2024,0.6838028169014084,0.595340282035561,0.8031430934656741,0.9150328645465076,0.6765093157108667,0.1
amlnet,mlp,2025,0.6796521739130434,0.5850299401197605,0.8107883817427386,0.9154990043132768,0.6267230234064561,0.1
amlnet,mlp,2026,0.6787658802177858,0.5902777777777778,0.798462852263023,0.8922985788754514,0.5803697115170877,0.1
amlnet,mlp,2027,0.6891156462585034,0.5811818703384969,0.8462823725981621,0.892847500838114,0.5699801250213806,0.1
