dataset,model,seed,f1_1,pre_1,rec_1,auroc,auprc,train_ratio
atnet,xgb,2027,0.6727809014655729,0.5243911200517278,0.9382954107211724,0.9913620804486258,0.6492548556713824,0.1
atnet,lgbm,2024,0.6696067622197721,0.5185712252739434,0.9447757324345346,0.9914580158927848,0.6529666209327035,0.1
atnet,lgbm,2025,0.6657947592134149,0.518855562026791,0.9288413918936532,0.991423521561177,0.6398146978019408,0.1
atnet,lgbm,2026,0.6703518058743617,0.5245601173020528,0.9283768003114052,0.9913416487478424,0.6489785512813058,0.1
atnet,lgbm,2027,0.6715105516475379,0.5246221708004917,0.9326391567039464,0.990905205450728,0.6447717224682937,0.1
atnet,gcn,2024,0.2381840291852452,0.1411617738913179,0.7617319159968887,0.9167982015177064,0.292810846265413,0.1
atnet,gcn,2025,0.251923113630724,0.1475758117899633,0.8600286719666362,0.953945493475469,0.3599324547098452,0.1
atnet,gcn,2026,0.257226925459426,0.1605503109192254,0.6465550797975866,0.9189997257263604,0.2807884410312855,0.1
atnet,gcn,2027,0.2562831450311275,0.1506607929515418,0.8573081372927112,0.9528392150166476,0.3325963569312085,0.1
atnet,gat,2024,0.5384367040929798,0.3722164360462233,0.9729064039408868,0.987817292646594,0.5571009702346297,0.1
atnet,gat,2025,0.4911039089886897,0.3290494128074451,0.967678873973674,0.9854849317045966,0.5402781234843006,0.1
atnet,gat,2026,0.5278073726827189,0.3633563150946164,0.9641884001557026,0.9875590907531776,0.5738432479690884,0.1
atnet,gat,2027,0.6147083960766757,0.4497379704621248,0.9708188713202212,0.9890222473770052,0.5790655871489363,0.1
atnet,caregnn,2024,0.1013445060700242,0.0584090414266769,0.3825512056002074,0.6189962689460096,0.092840413392852,0.1
atnet,caregnn,2025,0.1015409130206302,0.0583615885264429,0.3903297276163169,0.6259952417988244,0.0965039224049483,0.1
atnet,caregnn,2026,0.1126818191117203,0.0668868703550784,0.3573374854028805,0.6272072827875097,0.0909889969665155,0.1
atnet,caregnn,2027,0.115068166461306,0.068055196408002,0.372155804087929,0.6305983258639168,0.0982156351150112,0.1
atnet,mlp,2024,0.0435777280729357,0.0223301704251622,0.8988422406736054,0.5226695027818342,0.022222097907896,0.01
atnet,mlp,2025,0.0546170072560071,0.0281994259755564,0.8643672803542298,0.5933764423214622,0.0272768553596628,0.01
atnet,mlp,2026,0.0663436303242481,0.034646152565823,0.7795201872440023,0.6524935354322312,0.0318009450401664,0.01
atnet,mlp,2027,0.0427212777576041,0.021883528285866,0.8939675174013921,0.513424957643892,0.0220017250660335,0.01
atnet,mlp,2024,0.0620257732665171,0.0322171919933942,0.8296468287913968,0.61881927446771,0.0303676657781401,0.05
atnet,mlp,2025,0.0627630682507536,0.0326233015266249,0.8244452617383842,0.6469069206071121,0.0307775476747687,0.05
atnet,mlp,2026,0.0557284683649364,0.0288018148071767,0.855969600392253,0.6150194788546024,0.0278029316391914,0.05
atnet,mlp,2027,0.0547049545334764,0.0282443320069565,0.8662312530237058,0.5918160600081894,0.027357013793665,0.05
atnet,mlp,2024,0.041822182381224,0.0213586522240966,0.9979258491055224,0.5473142944545729,0.0234734296094574,0.1
atnet,mlp,2025,0.0586298061065525,0.0305025502391839,0.7528997784438942,0.6103977970981104,0.0282283602019448,0.1
atnet,mlp,2026,0.054021268215833,0.0278561941241221,0.8898404048267808,0.6000224000880041,0.0272938838652613,0.1
atnet,mlp,2027,0.0798965981318373,0.0421318905245406,0.7707931610746883,0.6676577040649196,0.0374797496360652,0.1
